Plot_ID,Date,UAV_Date,STATION,NDVI,Tmax,Tmin,cum_GDD,cum_Pdays,cum_BMT
17-AYN2-RL-U-0101,2017-05-25,2017-05-25,Manhattan,0.889110354,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0102,2017-05-25,2017-05-25,Manhattan,0.896545585,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0103,2017-05-25,2017-05-25,Manhattan,0.872107961,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0104,2017-05-25,2017-05-25,Manhattan,0.8840126420000001,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0105,2017-05-25,2017-05-25,Manhattan,0.8993108609999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0106,2017-05-25,2017-05-25,Manhattan,0.88461181,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0107,2017-05-25,2017-05-25,Manhattan,0.873758075,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0108,2017-05-25,2017-05-25,Manhattan,0.88797739,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0109,2017-05-25,2017-05-25,Manhattan,0.885379053,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0110,2017-05-25,2017-05-25,Manhattan,0.8873570829999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0111,2017-05-25,2017-05-25,Manhattan,0.890056194,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0112,2017-05-25,2017-05-25,Manhattan,0.882473663,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0113,2017-05-25,2017-05-25,Manhattan,0.903386197,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0114,2017-05-25,2017-05-25,Manhattan,0.890649142,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0115,2017-05-25,2017-05-25,Manhattan,0.8823340159999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0116,2017-05-25,2017-05-25,Manhattan,0.8862421659999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0117,2017-05-25,2017-05-25,Manhattan,0.8741225009999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0118,2017-05-25,2017-05-25,Manhattan,0.90050268,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0119,2017-05-25,2017-05-25,Manhattan,0.8867704190000001,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0120,2017-05-25,2017-05-25,Manhattan,0.8868420090000001,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0121,2017-05-25,2017-05-25,Manhattan,0.87680696,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0122,2017-05-25,2017-05-25,Manhattan,0.894789244,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0123,2017-05-25,2017-05-25,Manhattan,0.8931975040000001,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0124,2017-05-25,2017-05-25,Manhattan,0.875081482,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0125,2017-05-25,2017-05-25,Manhattan,0.886932532,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0126,2017-05-25,2017-05-25,Manhattan,0.892131013,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0127,2017-05-25,2017-05-25,Manhattan,0.8732037990000001,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0128,2017-05-25,2017-05-25,Manhattan,0.911547511,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0129,2017-05-25,2017-05-25,Manhattan,0.907987949,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0130,2017-05-25,2017-05-25,Manhattan,0.897016963,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0131,2017-05-25,2017-05-25,Manhattan,0.85827844,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0132,2017-05-25,2017-05-25,Manhattan,0.8730183159999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0133,2017-05-25,2017-05-25,Manhattan,0.874522318,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0134,2017-05-25,2017-05-25,Manhattan,0.865581402,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0135,2017-05-25,2017-05-25,Manhattan,0.871091473,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0136,2017-05-25,2017-05-25,Manhattan,0.8611004870000001,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0137,2017-05-25,2017-05-25,Manhattan,0.8906025870000001,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0138,2017-05-25,2017-05-25,Manhattan,0.8647053929999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0139,2017-05-25,2017-05-25,Manhattan,0.8766176509999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0140,2017-05-25,2017-05-25,Manhattan,0.868142437,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0201,2017-05-25,2017-05-25,Manhattan,0.852138765,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0202,2017-05-25,2017-05-25,Manhattan,0.85163076,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0203,2017-05-25,2017-05-25,Manhattan,0.88744199,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0204,2017-05-25,2017-05-25,Manhattan,0.878845471,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0205,2017-05-25,2017-05-25,Manhattan,0.8821969909999999,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0206,2017-05-25,2017-05-25,Manhattan,0.8657839490000001,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
17-AYN2-RL-U-0207,2017-05-25,2017-05-25,Manhattan,0.86652034,20.56,8.69,1225.4800000000007,1085.9862503463658,873.3874147595888
