"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2017-09-01","Scandia",23.8,15.4,77.6,0,1.3,5.7,24.6,20.4,24.2,20.9,8.3,2.17,2.68
"2017-09-02","Scandia",30.4,13.4,77.2,0,1.1,5.8,31.3,18.8,29.8,19.2,21.6,4.21,4.99
"2017-09-03","Scandia",33.9,13.3,68.3,0,1.5,5.3,31.9,19.6,30.5,20.3,21.8,5.02,6.47
"2017-09-04","Scandia",27.7,14.5,68.0,0,1.9,7.6,29.0,20.9,28.2,21.7,19.1,4.37,5.72
"2017-09-05","Scandia",22.2,6.4,61.4,0,1.7,7.9,28.5,17.2,26.9,18.2,23.7,4.06,5.24
"2017-09-06","Scandia",23.7,4.7,62.8,0,1.1,6.1,28.9,15.5,27.0,16.1,24.0,3.82,4.75
"2017-09-07","Scandia",29.3,5.4,56.1,0,1.3,4.9,29.4,16.0,27.5,16.4,23.0,4.41,5.73
"2017-09-08","Scandia",31.9,14.5,49.7,0,1.6,6.6,30.3,19.1,28.7,19.4,21.3,4.97,6.63
"2017-09-09","Scandia",28.1,14.9,52.2,0.51,2.3,7.1,27.0,19.9,26.2,20.4,15.6,4.54,6.39
"2017-09-10","Scandia",27.9,16.1,64.5,0.25,2.1,7.5,26.0,19.5,24.7,19.9,9.3,3.53,5.04
"2017-09-11","Scandia",29.8,13.2,57.6,0,1.4,5.9,30.1,18.5,28.4,18.8,21.3,4.45,5.75
"2017-09-12","Scandia",28.6,10.7,68.5,0,0.6,3.6,29.0,18.7,27.9,19.3,19.1,3.31,3.84
"2017-09-13","Scandia",33.0,10.4,56.2,0,1.5,5.6,30.3,18.5,28.7,19.1,19.7,4.67,6.32
"2017-09-14","Scandia",34.8,17.2,39.1,0,2.7,10.7,30.1,20.5,29.0,21.0,18.9,6.47,9.55
"2017-09-15","Scandia",33.7,19.2,53.1,0,3.0,13.8,30.2,21.7,29.2,22.2,18.3,6.23,9.09
"2017-09-16","Scandia",25.2,14.2,72.2,3.81,2.3,7.1,29.9,19.9,28.8,21.6,15.5,3.36,4.35
"2017-09-17","Scandia",19.7,9.2,71.8,0.25,2.4,7.3,22.0,16.2,21.6,17.1,11.9,2.70,3.67
"2017-09-18","Scandia",26.9,17.1,83.9,13.46,1.8,6.2,27.0,19.6,25.6,19.4,12.3,2.91,3.69
"2017-09-19","Scandia",33.2,17.4,65.2,0,3.1,9.5,27.5,19.3,26.1,19.3,19.8,5.49,7.61
"2017-09-20","Scandia",28.1,14.5,52.6,0,2.1,7.4,28.7,18.0,27.1,18.6,21.2,4.76,6.55
"2017-09-21","Scandia",34.6,17.1,63.0,0,3.1,9.6,30.3,19.3,28.8,19.5,20.0,5.80,8.15
"2017-09-22","Scandia",35.0,22.9,57.1,0,3.7,9.2,30.9,22.7,29.6,23.2,18.6,6.50,9.44
"2017-09-23","Scandia",32.5,21.4,56.6,0,3.1,9.2,30.4,22.3,29.5,22.9,18.0,5.60,7.98
"2017-09-24","Scandia",30.2,17.4,71.1,5.84,2.5,9.4,28.5,21.1,27.8,22.2,13.5,4.03,5.63
"2017-09-25","Scandia",17.6,11.8,96.6,34.29,2.0,6.6,21.1,17.1,22.2,17.3,2.3,0.72,0.79
"2017-09-26","Scandia",16.0,10.2,85.3,0,1.6,5.9,20.3,15.8,19.1,15.7,9.0,1.69,2.09
"2017-09-27","Scandia",22.3,8.0,71.9,0,0.7,4.5,23.7,14.4,21.6,14.3,16.7,2.57,3.12
"2017-09-28","Scandia",25.3,6.2,65.6,0,0.8,4.9,23.9,13.5,21.6,13.2,18.9,2.96,3.72
"2017-09-29","Scandia",26.4,9.8,56.3,0,1.2,6.1,23.5,15.8,21.2,15.3,15.6,3.16,4.23
"2017-09-30","Scandia",26.0,15.2,53.4,0,2.9,8.7,22.4,17.0,20.6,16.3,17.9,4.51,6.46
"2017-10-01","Scandia",26.1,17.2,52.7,0,4.6,13.2,21.8,17.1,20.1,16.4,12.1,4.97,7.58
"2017-10-02","Scandia",27.7,19.0,58.4,0,3.7,9.5,21.9,18.3,20.5,17.6,5.3,3.89,6.03
"2017-10-03","Scandia",23.3,15.1,73.8,0,2.8,11.5,20.5,18.0,19.8,17.5,3.9,2.07,3.01
"2017-10-04","Scandia",17.2,12.1,83.3,3.05,2.2,8.2,19.2,16.3,17.9,15.8,7.8,1.72,2.25
"2017-10-05","Scandia",24.2,13.6,95.7,2.03,1.5,5.2,22.2,17.1,20.5,16.3,3.5,1.18,1.48
"2017-10-06","Scandia",22.8,12.5,92.7,23.88,1.9,10.1,22.9,17.4,21.4,17.5,4.1,1.26,1.60
"2017-10-07","Scandia",23.7,11.0,69.0,1.02,2.4,8.4,22.3,15.4,20.4,15.3,17.0,3.66,5.22
"2017-10-08","Scandia",26.8,8.7,61.8,0,1.2,6.8,23.4,13.5,20.9,12.9,17.5,3.13,4.22
"2017-10-09","Scandia",14.0,3.5,60.5,3.30,4.6,11.9,16.3,11.0,16.1,10.3,5.5,2.38,3.65
"2017-10-10","Scandia",11.5,0.3,73.9,0.25,1.9,7.2,16.0,9.9,13.4,9.1,7.9,1.67,2.36
"2017-10-11","Scandia",18.6,-2.4,67.0,0,1.3,6.2,18.3,7.6,15.0,6.4,17.9,2.42,3.30
"2017-10-12","Scandia",24.8,7.2,70.1,0,2.5,8.7,20.5,11.2,17.5,9.6,17.0,3.36,4.75
"2017-10-13","Scandia",16.3,12.2,81.6,0,2.3,6.9,17.9,15.0,15.8,13.6,5.8,1.46,1.95
"2017-10-14","Scandia",19.5,8.3,81.1,0,2.7,10.8,19.2,13.1,16.8,12.6,5.5,1.76,2.50
"2017-10-15","Scandia",17.1,2.1,60.5,0,1.7,6.4,18.5,9.7,15.5,8.5,16.8,2.56,3.64
"2017-10-16","Scandia",23.5,-0.6,55.8,0,2.4,9.1,16.7,6.3,15.2,7.2,16.6,3.81,5.85
"2017-10-17","Scandia",23.9,5.4,56.7,0,1.6,5.3,17.8,6.5,17.1,8.8,16.3,2.96,4.25
"2017-10-18","Scandia",24.9,5.3,63.1,0,1.5,6.6,17.1,6.7,17.3,9.6,14.2,2.81,4.02
"2017-10-19","Scandia",27.2,2.6,60.5,0,1.5,6.4,18.1,5.9,18.4,9.4,15.5,3.13,4.56
"2017-10-20","Scandia",25.1,13.4,63.4,0,4.3,13.0,18.1,10.2,18.9,13.1,12.2,3.95,6.02
"2017-10-21","Scandia",21.3,5.8,62.2,0,4.5,12.4,18.3,10.3,19.2,13.7,8.9,3.70,5.83
"2017-10-22","Scandia",20.9,-1.4,53.8,0,1.4,7.3,16.9,5.6,17.8,9.6,15.7,2.59,3.86
"2017-10-23","Scandia",19.3,3.5,40.3,0,3.6,12.1,15.5,6.5,16.8,10.2,11.8,3.89,6.18
"2017-10-24","Scandia",15.7,-0.1,42.0,0,3.8,11.8,14.7,5.9,15.3,9.5,15.3,3.42,5.38
"2017-10-25","Scandia",25.2,-0.2,43.4,0,1.5,6.3,17.7,4.9,17.4,7.4,14.7,3.06,4.73
"2017-10-26","Scandia",17.8,1.8,47.6,0,4.3,13.6,14.8,7.3,15.2,9.6,12.6,3.50,5.52
"2017-10-27","Scandia",5.3,-7.6,49.5,0,3.5,9.9,10.5,1.3,11.7,5.9,14.7,1.76,2.67
"2017-10-28","Scandia",11.1,-10.6,39.0,0,1.2,6.6,9.4,-1.6,11.0,3.1,14.9,1.74,2.64
"2017-10-29","Scandia",23.6,-3.8,45.0,0,2.4,9.3,13.0,-0.6,14.3,4.3,13.4,3.60,5.75
"2017-10-30","Scandia",9.8,-6.5,42.6,0,3.7,11.6,9.7,0,12.6,6.1,12.9,2.43,3.83
"2017-10-31","Scandia",-0.6,-8.6,81.9,0,1.8,5.9,0.4,-1.8,6.1,3.5,2.8,0.64,0.89
