Plot_ID,KC,KR,Date,NDVI,Column,Range,Merge_id
18MP_0,1,1,5/22/18,0.719,1,1,C1_R1
18MP_0,1,1,6/6/18,0.259,1,1,C1_R1
18MP_0,1,2,5/22/18,0.717,1,2,C1_R2
18MP_0,1,2,6/6/18,0.255,1,2,C1_R2
18MP_0,1,3,5/22/18,0.717,1,3,C1_R3
18MP_0,1,3,6/6/18,0.256,1,3,C1_R3
18MP_0,1,4,5/22/18,0.704,1,4,C1_R4
18MP_0,1,4,6/6/18,0.236,1,4,C1_R4
18MP_0,1,5,5/22/18,0.677,1,5,C1_R5
18MP_0,1,5,6/6/18,0.233,1,5,C1_R5
18MP_0,1,6,5/22/18,0.662,1,6,C1_R6
18MP_0,1,6,6/6/18,0.225,1,6,C1_R6
18MP_0,1,7,5/22/18,0.682,1,7,C1_R7
18MP_0,1,7,6/6/18,0.232,1,7,C1_R7
18MP_0,1,8,5/22/18,0.717,1,8,C1_R8
18MP_0,1,8,6/6/18,0.234,1,8,C1_R8
18MP_0,1,9,5/22/18,0.724,1,9,C1_R9
18MP_0,1,9,6/6/18,0.271,1,9,C1_R9
18MP_0,1,10,5/22/18,0.711,1,10,C1_R10
18MP_0,1,10,6/6/18,0.265,1,10,C1_R10
18MP_0,1,11,5/22/18,0.697,1,11,C1_R11
18MP_0,1,11,6/6/18,0.266,1,11,C1_R11
18MP_0,1,12,5/22/18,0.66,1,12,C1_R12
18MP_0,1,12,6/6/18,0.235,1,12,C1_R12
18MP_0,1,13,5/22/18,0.683,1,13,C1_R13
18MP_0,1,13,6/6/18,0.229,1,13,C1_R13
18MP_0,1,14,5/22/18,0.672,1,14,C1_R14
18MP_0,1,14,6/6/18,0.226,1,14,C1_R14
18MP_0,1,15,5/22/18,0.663,1,15,C1_R15
18MP_0,1,15,6/6/18,0.223,1,15,C1_R15
18MP_0,1,16,5/22/18,0.675,1,16,C1_R16
18MP_0,1,16,6/6/18,0.244,1,16,C1_R16
18MP_0,1,17,5/22/18,0.688,1,17,C1_R17
18MP_0,1,17,6/6/18,0.24,1,17,C1_R17
18MP_0,1,18,5/22/18,0.689,1,18,C1_R18
18MP_0,1,18,6/6/18,0.247,1,18,C1_R18
18MP_0,1,19,5/22/18,0.646,1,19,C1_R19
18MP_0,1,19,6/6/18,0.221,1,19,C1_R19
18MP_0,1,20,5/22/18,0.612,1,20,C1_R20
18MP_0,1,20,6/6/18,0.219,1,20,C1_R20
18MP_0,1,21,5/22/18,0.631,1,21,C1_R21
18MP_0,1,21,6/6/18,0.236,1,21,C1_R21
18MP_0,1,22,5/22/18,0.579,1,22,C1_R22
18MP_0,1,22,6/6/18,0.229,1,22,C1_R22
18MP_101,2,1,5/22/18,0.655,2,1,C2_R1
18MP_101,2,1,6/6/18,0.276,2,1,C2_R1
18MP_120,2,2,5/22/18,0.64,2,2,C2_R2
18MP_120,2,2,6/6/18,0.251,2,2,C2_R2
18MP_121,2,3,5/22/18,0.678,2,3,C2_R3
18MP_121,2,3,6/6/18,0.262,2,3,C2_R3
18MP_140,2,4,5/22/18,0.637,2,4,C2_R4
18MP_140,2,4,6/6/18,0.282,2,4,C2_R4
18MP_201,2,5,5/22/18,0.643,2,5,C2_R5
18MP_201,2,5,6/6/18,0.23,2,5,C2_R5
18MP_220,2,6,5/22/18,0.572,2,6,C2_R6
18MP_220,2,6,6/6/18,0.228,2,6,C2_R6
18MP_221,2,7,5/22/18,0.633,2,7,C2_R7
18MP_221,2,7,6/6/18,0.261,2,7,C2_R7
18MP_240,2,8,5/22/18,0.672,2,8,C2_R8
18MP_240,2,8,6/6/18,0.254,2,8,C2_R8
18MP_301,2,9,5/22/18,0.692,2,9,C2_R9
18MP_301,2,9,6/6/18,0.311,2,9,C2_R9
18MP_320,2,10,5/22/18,0.737,2,10,C2_R10
18MP_320,2,10,6/6/18,0.354,2,10,C2_R10
18MP_321,2,11,5/22/18,0.695,2,11,C2_R11
18MP_321,2,11,6/6/18,0.29,2,11,C2_R11
18MP_340,2,12,5/22/18,0.624,2,12,C2_R12
18MP_340,2,12,6/6/18,0.259,2,12,C2_R12
18MP_101,2,13,5/22/18,0.615,2,13,C2_R13
18MP_101,2,13,6/6/18,0.251,2,13,C2_R13
18MP_120,2,14,5/22/18,0.681,2,14,C2_R14
18MP_120,2,14,6/6/18,0.283,2,14,C2_R14
18MP_121,2,15,5/22/18,0.611,2,15,C2_R15
18MP_121,2,15,6/6/18,0.265,2,15,C2_R15
18MP_210,2,16,5/22/18,0.599,2,16,C2_R16
18MP_210,2,16,6/6/18,0.263,2,16,C2_R16
18MP_211,2,17,5/22/18,0.656,2,17,C2_R17
18MP_211,2,17,6/6/18,0.276,2,17,C2_R17
18MP_230,2,18,5/22/18,0.648,2,18,C2_R18
18MP_230,2,18,6/6/18,0.304,2,18,C2_R18
18MP_0,2,19,5/22/18,0.66,2,19,C2_R19
18MP_0,2,19,6/6/18,0.252,2,19,C2_R19
18MP_101,2,20,5/22/18,0.638,2,20,C2_R20
18MP_101,2,20,6/6/18,0.276,2,20,C2_R20
18MP_120,2,21,5/22/18,0.623,2,21,C2_R21
18MP_120,2,21,6/6/18,0.264,2,21,C2_R21
18MP_0,2,22,5/22/18,0.614,2,22,C2_R22
18MP_0,2,22,6/6/18,0.245,2,22,C2_R22
18MP_101,3,1,5/22/18,0.632,3,1,C3_R1
18MP_101,3,1,6/6/18,0.252,3,1,C3_R1
18MP_120,3,2,5/22/18,0.636,3,2,C3_R2
18MP_120,3,2,6/6/18,0.241,3,2,C3_R2
18MP_121,3,3,5/22/18,0.677,3,3,C3_R3
18MP_121,3,3,6/6/18,0.264,3,3,C3_R3
18MP_140,3,4,5/22/18,0.626,3,4,C3_R4
18MP_140,3,4,6/6/18,0.258,3,4,C3_R4
18MP_201,3,5,5/22/18,0.65,3,5,C3_R5
18MP_201,3,5,6/6/18,0.232,3,5,C3_R5
18MP_220,3,6,5/22/18,0.636,3,6,C3_R6
18MP_220,3,6,6/6/18,0.233,3,6,C3_R6
18MP_221,3,7,5/22/18,0.685,3,7,C3_R7
18MP_221,3,7,6/6/18,0.261,3,7,C3_R7
18MP_240,3,8,5/22/18,0.722,3,8,C3_R8
18MP_240,3,8,6/6/18,0.26,3,8,C3_R8
18MP_320,3,9,5/22/18,0.753,3,9,C3_R9
18MP_320,3,9,6/6/18,0.327,3,9,C3_R9
18MP_321,3,10,5/22/18,0.739,3,10,C3_R10
18MP_321,3,10,6/6/18,0.278,3,10,C3_R10
18MP_340,3,11,5/22/18,0.714,3,11,C3_R11
18MP_340,3,11,6/6/18,0.295,3,11,C3_R11
18MP_101,3,12,5/22/18,0.635,3,12,C3_R12
18MP_101,3,12,6/6/18,0.247,3,12,C3_R12
18MP_120,3,13,5/22/18,0.707,3,13,C3_R13
18MP_120,3,13,6/6/18,0.276,3,13,C3_R13
